sido_sgg,locatadd_nm,avg_area,avg_price
11680,서울특별시 강남구,84.58414561085972,2528.554878767996
11740,서울특별시 강동구,73.17918101807803,1386.3575143673236
11305,서울특별시 강북구,60.269648313253015,874.4385503390695
11500,서울특별시 강서구,69.47030172314761,1096.2383954092961
11620,서울특별시 관악구,71.81085682730924,949.2033003835118
11215,서울특별시 광진구,80.74272255639097,1462.0516311098113
11530,서울특별시 구로구,69.16753990077959,913.2049034594605
11545,서울특별시 금천구,71.83650670391062,853.534978837227
11350,서울특별시 노원구,62.77849493374902,970.042782882675
11320,서울특별시 도봉구,67.18010641860465,778.1966591363471
11230,서울특별시 동대문구,68.6361993814433,1108.5401760504337
11590,서울특별시 동작구,76.20833941666666,1357.630679834459
11440,서울특별시 마포구,74.77081897506926,1565.468221600717
11410,서울특별시 서대문구,74.96653296529969,1158.5256170798743
11650,서울특별시 서초구,92.03480737265416,2433.816055728593
11200,서울특별시 성동구,77.75122211021505,1670.6399859496019
11290,서울특별시 성북구,72.99879843243244,1037.8058128335042
11710,서울특별시 송파구,80.90918335826477,1959.2589368067477
11470,서울특별시 양천구,78.87485865384616,1457.3354071915517
11560,서울특별시 영등포구,72.48695442374854,1356.7241217916082
11170,서울특별시 용산구,99.76586177024481,2051.3337078605127
11380,서울특별시 은평구,67.127899231262,1073.5201006201225
11110,서울특별시 종로구,76.2670379661017,1384.540400148998
11140,서울특별시 중구,74.31623996175908,1286.8126155923114
11260,서울특별시 중랑구,65.80344432194046,898.1457910410616
