키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
나이키,218100,815500,385.6,6263.0,0.17,0.73,10,높음
나이키운동화,22800,216000,129.1,3018.4,0.59,1.47,15,높음
나이키스토어,710,2060,99.3,377.5,13.25,17.82,5,중간
나이키온라인,1280,1740,57.5,296.5,4.42,17.73,10,중간
나이키몰,590,2200,33.1,311.8,5.6,13.73,10,중간
ACG,2270,10800,75.6,97.6,3.38,0.94,7,높음
나이키러닝화,2130,11400,11.5,259.2,0.54,2.24,10,중간
나이키풋살화,1990,13500,50.1,319.2,2.54,2.47,10,중간
나이키온라인스토어,8680,31300,34.0,739.0,0.38,2.19,1,낮음
나이키플렉스러너,100,1530,1.9,29.7,1.71,1.95,7,높음
나이키아울렛,1520,7570,40.9,224.6,2.82,3.24,10,중간
아마존직구,1950,7240,22.0,91.8,1.12,1.28,7,높음
자라세일,32700,288500,124.7,2464.8,0.4,0.94,6,중간
나이키공식홈,190,2170,98.7,1283.1,49.34,54.35,1,낮음
슈마커나이키,< 10,50,0.0,4.8,0.0,12.06,7,높음
나이키직구,230,780,5.3,41.8,2.09,5.22,7,높음
파타고니아직구,470,1580,9.0,60.3,1.84,3.77,7,높음
나이키공식홈페이지,650,3330,91.1,2459.0,13.36,69.55,3,낮음
나이키에어포스,7380,73100,75.0,1241.8,1.05,1.8,10,중간
나이키V2K런,1600,10500,20.5,223.6,1.26,2.07,15,높음
나이키정품,50,380,3.0,26.8,5.77,7.65,7,높음
뉴발란스직구,220,570,2.6,23.3,1.09,3.82,7,높음
자라직구,260,1450,4.3,42.8,1.77,3.14,7,높음
나이키공홈,2430,9250,41.5,1351.0,1.63,13.59,2,낮음
나이키P6000,2200,18600,27.1,553.4,1.21,2.96,15,높음
나이키신발,5230,32200,29.3,334.4,0.59,1.1,10,중간
나이키공식,160,520,9.2,70.3,5.36,13.62,10,중간
나이키바람막이,2130,12700,11.9,131.8,0.56,1.06,10,중간
나이키플렉스러너2,40,520,2.1,9.0,4.13,1.66,7,높음
나이키양말,3910,26400,55.3,598.8,1.43,2.37,10,중간
자라구매대행,50,290,2.9,17.0,5.5,6.49,7,높음
나이키메트콘9,630,3270,17.3,87.8,2.56,2.61,7,높음
나이티,190,1990,9.4,185.9,4.44,8.96,5,중간
나이키보메로17,910,3590,11.0,56.5,1.17,1.53,6,중간
나이키공식몰,170,670,44.5,408.0,27.47,63.26,2,낮음
나이키홈페이지,230,1430,134.0,981.0,50.96,65.45,1,낮음
미국구매대행쇼핑몰,50,80,3.3,4.5,5.87,4.9,7,높음
나이키마노아,900,4360,16.7,121.8,1.94,2.9,7,높음
NIKE,3080,11300,8.9,88.3,0.29,0.76,7,높음
나이키멤버스,20,310,13.8,76.7,38.47,22.7,1,낮음
나이키런닝화,4470,36600,36.8,924.8,0.81,2.54,10,중간
나이키에어맥스,3910,32700,29.0,356.0,0.77,1.14,10,중간
올드네이비,220,1120,4.6,25.0,2.03,2.24,7,높음
미네통카,340,3570,4.7,177.4,1.24,3.5,7,높음
나이키라이즈365,40,310,0.9,11.3,2.45,3.92,7,높음
나이키세일,1000,4880,31.4,104.4,3.0,2.07,7,높음
여성나이키런닝화,10,70,0.0,1.0,0.0,1.62,3,높음
나이키보메로5,930,7030,16.0,103.8,1.73,1.49,10,중간
나이키덩크로우,1640,13500,20.5,253.0,1.22,1.92,10,중간
