키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
NIKE.COM,70,170,8.2,22.8,10.14,12.61,4,낮음
나이키에어맥스95,580,3160,12.0,64.0,2.17,2.23,7,높음
나이키에어맥스95에센셜,10,120,0.3,3.3,2.39,3.25,7,높음
나이키에어맥스97,1710,12800,34.1,124.9,2.11,1.02,7,높음
나이키에어맥스97블랙,80,720,3.7,19.3,4.65,2.92,7,높음
나이키에어맥스98,70,630,0.9,10.5,1.16,1.67,7,높음
나이키에어맥스SC,460,1970,4.3,17.5,0.95,0.88,7,높음
나이키에어맥스샌들,< 10,40,0.6,1.0,5.72,2.59,7,높음
나이키에어맥스엑시스,200,1130,4.0,15.0,1.93,1.24,7,높음
나이키에어맥스우먼,10,100,0.4,3.0,3.07,2.86,7,높음
나이키에어맥스인비고,< 10,50,0.1,0.6,1.79,1.28,7,높음
나이키에어맥스인터락,10,240,0.3,2.8,2.39,1.17,7,높음
나이키에어맥스인터락라이트,20,150,0.3,3.5,1.3,2.22,7,높음
나이키에어맥스펄스,180,1210,2.9,18.8,1.58,1.65,7,높음
나이키에어맥스퓨리오사,30,360,0.6,8.5,1.17,2.41,7,높음
나이키에어모나크,380,1870,4.3,35.9,1.12,1.95,7,높음
나이키에어모나크4,180,850,2.4,22.5,1.4,2.71,7,높음
나이키에어모어,20,270,0.6,1.9,2.2,0.78,7,높음
나이키에어모어업템포,130,800,1.3,9.3,0.99,1.1,7,높음
나이키에어베이퍼맥스,80,770,2.9,3.8,3.22,0.43,7,높음
나이키에어신발,30,280,0.9,7.0,2.6,2.65,7,높음
나이키에어우븐,10,100,0.0,0.3,0.0,0.33,3,높음
나이키에어운동화,130,1130,1.3,38.0,0.97,3.49,7,높음
나이키에어줌,290,2400,3.6,46.3,1.21,2.01,7,높음
나이키에어테일윈드,10,160,0.0,3.5,0.0,2.18,7,높음
나이키에어페가수스,60,500,0.3,6.0,0.4,1.22,7,높음
나이키에어페가수스83,20,70,0.1,2.0,0.72,2.95,7,높음
나이키에어포스1LV8,80,370,1.3,13.5,1.36,3.2,7,높음
나이키에어포스1로우,110,640,2.3,13.3,2.27,2.2,7,높음
나이키에어포스1쉐도우,50,350,1.4,12.0,2.47,3.52,7,높음
나이키에어포스1올검,10,50,0.0,3.3,0.0,6.14,7,높음
나이키에어포스검흰,40,180,0.3,5.3,0.78,3.08,7,높음
나이키스투시에어줌,20,180,0.4,3.1,1.8,1.79,7,높음
나이키스페이스히피,30,170,0.4,3.4,1.2,2.01,7,높음
나이키스포츠브라,370,3380,12.6,76.5,3.38,2.35,7,높음
나이키스포츠양말,290,1690,4.6,60.2,1.61,3.55,15,높음
나이키스포츠웨어,60,570,1.1,14.5,1.79,2.45,7,높음
나이키스포츠웨어에브리씽우븐,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키스포츠웨어칠니트,10,60,0.3,0.0,1.59,0.0,3,높음
나이키슬리브,40,240,0.1,0.9,0.3,0.36,7,높음
나이키슬리브리스,20,180,0.1,2.5,0.69,1.34,7,높음
나이키시발,< 10,30,0.3,1.0,3.04,3.23,3,높음
나이키시즌오프,20,110,0.4,5.0,1.83,4.81,7,높음
나이키신발구매,< 10,10,0.0,0.6,0.0,3.85,3,높음
나이키신발사이트,< 10,30,0.3,3.5,3.58,10.3,7,높음
나이키신발세일,10,50,0.4,6.5,3.9,11.41,7,높음
나이키신발신상,10,230,1.4,15.6,7.94,6.91,7,높음
나이키신발응모,10,80,0.8,0.5,5.0,0.65,4,중간
나이키신발이름,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키신발종류,100,530,0.6,16.6,0.59,3.15,7,높음
나이키신발추천,260,1310,3.0,33.5,1.15,2.63,7,높음
나이키신발할인,10,40,0.9,5.3,5.36,10.3,7,높음
나이키신상신발,20,170,0.1,7.0,0.96,3.87,7,높음
나이키실내운동화,40,210,0.1,6.3,0.37,3.05,7,높음
나이키써마핏,1190,6570,13.3,110.3,1.09,1.65,7,높음
나이키써마핏패딩,890,9270,10.6,179.3,1.2,1.94,7,높음
나이키써밋화이트,140,1590,1.6,34.0,1.01,2.23,7,높음
나이키아노락트레이닝세트,< 10,10,0.0,0.7,0.0,5.13,0,낮음
나이키아우터,160,1160,3.7,21.7,2.19,1.83,7,높음
나이키아울렛매장,30,200,0.0,4.4,0.0,2.24,6,중간
나이키아울렛세일,90,530,5.1,17.8,5.0,3.31,4,중간
나이키아울렛온라인,< 10,30,0.8,3.7,15.0,14.64,4,중간
나이키알파플라이2,100,690,1.1,13.2,1.09,1.92,10,중간
나이키알파플라이3,1270,6050,31.3,168.5,2.47,2.87,7,높음
나이키야구모자,20,220,1.0,11.3,4.17,5.47,7,높음
나이키야구용품,< 10,20,0.3,2.5,5.72,13.89,7,높음
나이키야상,50,470,0.2,4.7,0.31,1.05,6,중간
나이키양털후리스,170,1870,3.6,33.0,1.87,1.74,7,높음
나이키어글리슈즈,140,1090,2.1,21.7,1.58,2.07,7,높음
나이키업템포,490,3170,6.0,70.5,1.27,2.33,7,높음
나이키에브리데이플러스쿠션크루,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키에센셜힙색,10,80,0.0,0.0,0.0,0.0,3,높음
나이키에센셜힙팩,< 10,10,0.2,0.3,1.93,1.97,7,높음
나이키에어리프트,210,1990,8.1,45.8,3.85,2.32,7,높음
나이키에어리프트블랙,< 10,10,0.0,0.5,0.0,4.0,7,높음
나이키에어리프트사이즈,< 10,40,0.0,0.3,0.0,0.57,7,높음
나이키에어리프트써밋화이트,< 10,< 10,0.0,1.0,0.0,33.34,7,높음
나이키에어맥스1,170,810,2.3,7.0,1.3,0.91,7,높음
나이키에어맥스270,130,820,1.3,9.3,0.96,1.15,7,높음
나이키에어맥스270리액트,10,120,0.1,2.0,0.72,1.6,7,높음
나이키에어맥스90,940,6450,15.4,51.3,1.67,0.84,7,높음
나이키반팔반바지,< 10,20,0.0,1.0,0.0,4.77,7,높음
나이키반팔반바지세트,< 10,20,0.0,0.3,0.0,1.43,7,높음
나이키반팔티,450,3390,6.3,77.2,1.41,2.43,7,높음
나이키백팩,1960,16400,20.9,428.3,1.11,2.79,10,높음
나이키버로우,2210,13000,31.5,452.6,1.44,3.46,15,높음
나이키베로나,10,100,0.9,2.3,5.36,2.17,7,높음
나이키베이퍼,170,910,1.6,19.8,0.95,2.24,7,높음
나이키베이퍼맥스360,30,190,0.3,3.3,0.82,1.77,7,높음
나이키베이퍼맥스플라이니트,80,510,2.0,4.7,2.44,0.97,7,높음
나이키보드화,50,390,0.0,0.7,0.0,0.19,3,높음
나이키보메로5블랙,40,360,0.5,14.7,1.25,4.56,6,중간
나이키볼캡,380,2830,7.5,81.8,2.04,3.05,10,중간
나이키블레이저,190,1700,1.7,10.0,0.86,0.6,7,높음
나이키블레이저로우,130,910,1.0,5.3,0.82,0.59,7,높음
나이키비키니,50,370,1.4,10.0,2.75,2.89,7,높음
나이키빅사이즈신발,10,30,1.0,5.0,8.34,17.25,7,높음
나이키빅사이즈운동화,20,80,0.6,2.5,2.29,3.38,7,높음
나이키빅스우시,140,1760,2.1,64.8,1.4,3.57,7,높음
나이키빅토리원,30,180,0.9,3.0,2.86,1.89,7,높음
나이키빅토리원슬라이드,10,60,0.3,0.0,1.79,0.0,7,높음
나이키사카이,1020,7600,6.9,161.0,0.69,2.2,10,중간
나이키상의,100,760,2.0,21.5,1.79,2.88,7,높음
나이키샌달,< 10,60,0.1,3.8,1.79,6.95,7,높음
나이키셋업,420,3390,7.6,78.3,1.88,2.46,7,높음
나이키쇼츠,140,710,3.7,15.8,2.45,2.28,7,높음
나이키수입,10,50,0.2,0.6,1.64,1.05,5,중간
나이키쉴드운동화,10,40,0.0,1.0,0.0,2.05,3,중간
나이키슈즈,40,240,0.9,4.8,1.79,2.09,7,높음
나이키스니커즈운동화,20,90,0.1,3.0,0.76,3.22,7,높음
나이키스모크그레이,20,220,0.0,1.8,0.0,0.85,6,중간
나이키스우시,470,3190,3.0,44.8,0.66,1.41,7,높음
나이키스우시드라이핏볼캡,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키스우시맨투맨,140,1110,3.9,22.0,2.49,2.01,7,높음
나이키스우시모자,70,630,1.6,15.3,2.25,2.43,7,높음
나이키스우시반바지,10,80,0.1,1.0,1.2,1.16,7,높음
나이키스우시반팔,10,160,0.0,1.8,0.0,1.21,7,높음
나이키스우시반팔티,< 10,20,0.0,1.3,0.0,5.56,7,높음
나이키스우시후드집업,40,210,1.1,5.8,2.2,2.45,7,높음
나이키스우시후드티,70,600,1.9,19.7,2.19,3.19,7,높음
나이키스웨이드,110,680,1.3,17.7,1.13,2.49,7,높음
나이키런닝화추천,370,2130,4.7,81.3,1.22,3.74,7,높음
나이키런닝화할인,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
나이키런서밋,< 10,20,0.0,0.0,0.0,0.0,0,낮음
나이키레거시,40,310,0.1,2.5,0.37,0.86,7,높음
나이키레거시91,100,810,0.9,24.0,0.81,2.82,7,높음
나이키레거시91모자,30,380,1.4,10.3,3.41,3.06,7,높음
나이키레깅스,460,3530,8.1,52.3,1.75,1.48,7,높음
나이키레볼루션5,70,400,1.1,8.3,1.59,2.15,7,높음
나이키레볼루션6,210,1400,3.3,18.0,1.58,1.35,7,높음
나이키롱슬리브,90,970,1.3,19.7,1.36,2.12,7,높음
나이키리액트,300,2100,1.7,37.0,0.55,1.84,7,높음
나이키마리나아노락,20,80,0.7,0.6,3.93,0.67,3,높음
나이키맥스,400,2770,7.0,31.0,1.69,1.2,7,높음
나이키맥스90,140,980,1.7,25.0,1.26,2.78,7,높음
나이키맥스95,150,1110,4.3,17.0,2.81,1.63,7,높음
나이키맥스97,260,1870,5.0,43.0,2.06,2.41,7,높음
나이키맥스플러스,40,290,1.1,10.5,2.49,3.81,7,높음
나이키맨투맨사이즈,40,390,0.1,9.7,0.27,2.4,7,높음
나이키맨투맨여성,90,1530,2.0,58.3,2.18,3.84,7,높음
나이키메쉬반팔,< 10,20,0.0,0.3,0.0,1.14,5,중간
나이키메쉬운동화,10,130,0.1,4.3,0.9,3.02,7,높음
나이키메신저백,140,1390,0.9,16.3,0.63,1.27,7,높음
나이키면반바지,30,180,1.0,2.0,3.45,1.17,7,높음
나이키모나크,200,1070,1.7,32.3,0.85,2.92,7,높음
나이키모자사이즈,80,430,0.9,10.3,1.06,2.26,7,높음
나이키무신사,10,50,5.0,5.2,31.25,7.7,1,낮음
나이키물병,40,280,1.3,8.5,3.48,3.14,7,높음
나이키미국,190,470,0.9,13.3,0.44,2.84,7,높음
나이키미국직구,20,60,0.1,4.5,0.41,5.49,7,높음
나이키바이유,170,660,0.7,1.7,0.34,0.29,3,높음
나이키바이크쇼츠,10,130,0.3,3.3,1.59,1.72,7,높음
나이키바지남성,160,2370,1.4,37.8,0.98,1.65,7,높음
나이키반바지,730,4730,8.9,177.7,1.21,3.89,10,높음
나이키기능성반팔,110,760,2.0,11.8,1.87,1.61,7,높음
나이키긴바지,120,790,0.9,23.7,0.67,2.91,7,높음
나이키긴팔티셔츠,60,410,2.7,13.5,4.0,3.16,7,높음
나이키끈없는운동화,80,720,1.3,25.3,1.56,3.54,7,높음
나이키남성맨투맨,30,340,0.6,10.5,1.64,3.02,7,높음
나이키남성반팔티,< 10,50,0.1,1.3,2.86,2.6,7,높음
나이키남성속옷,< 10,50,0.3,2.5,3.64,4.4,7,높음
나이키남성수영복,120,580,2.4,16.5,2.05,2.9,7,높음
나이키남성신발,30,230,0.6,11.0,1.85,5.15,7,높음
나이키남성양말,30,280,1.1,16.0,3.18,5.39,7,높음
나이키남성운동화,420,3270,10.4,144.3,2.55,4.56,7,높음
나이키남성조거팬츠,10,80,0.4,1.4,2.53,1.67,7,높음
나이키남성화,10,40,0.8,0.0,7.9,0.0,4,중간
나이키남자반팔티,< 10,50,0.1,2.4,4.77,4.21,7,높음
나이키남자신발,110,520,1.6,18.0,1.46,3.63,7,높음
나이키남자양말,20,290,1.1,10.5,4.58,3.89,7,높음
나이키남자운동화,260,1560,4.9,65.3,1.83,4.42,7,높음
나이키남자운동화추천,10,50,0.0,0.0,0.0,0.0,3,높음
나이키남자테니스화,10,50,0.0,0.0,0.0,0.0,3,중간
나이키농구화추천,60,440,1.1,15.3,1.69,3.77,7,높음
나이키다운쉬프터,40,230,1.0,3.0,2.05,1.43,7,높음
나이키단화,230,1750,1.1,32.0,0.49,1.87,7,높음
나이키당일배송,20,70,1.7,6.0,7.53,10.0,4,중간
나이키더플백,1340,9030,13.6,95.5,1.05,1.13,7,높음
나이키덩크로우범고래,100,830,2.4,44.5,1.96,5.21,7,높음
나이키덩크하이,120,960,1.3,12.0,1.09,1.27,7,높음
나이키데이브레이크,1510,10600,23.2,332.4,1.55,3.11,10,중간
나이키데이브레이크검흰,20,80,0.6,1.8,3.01,2.37,7,높음
나이키데이브레이크블랙,70,450,1.9,9.0,2.86,2.07,7,높음
나이키데이브레이크사이즈,20,190,0.1,1.4,0.65,0.61,7,높음
나이키데이브레이크써밋화이트,70,500,0.6,13.8,0.68,2.46,7,높음
나이키드라이핏긴팔,240,1650,3.5,29.4,1.44,1.77,8,중간
나이키드라이핏레전드,30,140,0.1,0.5,0.41,0.35,7,높음
나이키드라이핏모자,210,1590,3.9,35.2,1.73,2.2,7,높음
나이키드라이핏반팔,180,1180,2.9,15.3,1.55,1.32,7,높음
나이키드라이핏여성,10,190,0.0,4.0,0.0,1.86,7,높음
나이키드라이핏챌린저,140,530,0.6,5.3,0.42,1.01,7,높음
나이키라이프스타일,< 10,20,0.1,2.0,1.59,7.53,7,높음
나이키라하르,40,170,0.4,2.3,1.09,1.37,5,중간
나이키라하르로우,50,300,1.6,12.0,3.49,4.14,7,높음
나이키러닝,470,1890,15.0,23.0,2.95,1.21,7,높음
나이키러닝화추천,210,840,1.7,22.8,0.83,2.52,7,높음
나이키런,360,1440,2.4,9.0,0.62,0.59,7,높음
나이키런닝쇼츠,10,40,0.3,0.8,2.05,1.58,7,높음
나이키런닝운동화,< 10,60,0.3,4.0,4.77,7.28,7,높음
ACG마운틴플라이2로우,80,360,0.9,9.5,1.08,2.61,7,높음
NIKEAIRFORCE1,10,80,0.1,4.8,0.9,5.87,7,높음
NIKESB,40,280,0.6,5.8,1.51,1.95,7,높음
NIKESHOES,70,350,1.0,9.8,1.76,3.21,7,높음
나이키270,50,400,0.1,3.3,0.27,0.86,7,높음
나이키7부바지,20,90,0.6,3.5,3.01,3.5,7,높음
나이키95,50,400,1.3,9.3,2.15,2.4,7,높음
나이키ACG드라이핏,50,110,0.0,0.6,0.0,0.57,3,중간
나이키FB8825-001,10,120,0.4,0.7,1.97,0.69,3,중간
나이키NSW,130,1140,0.6,18.7,0.43,1.74,7,높음
나이키SB반팔,10,20,0.1,0.0,1.43,0.0,7,높음
나이키가방,2150,20400,25.3,794.0,1.21,4.21,10,높음
나이키가벼운운동화,30,160,0.6,4.0,2.12,2.36,7,높음
나이키가족신발,30,170,0.8,5.0,2.6,3.28,6,중간
나이키감마포스,610,3610,8.4,74.3,1.36,2.1,7,높음
나이키경량패딩,1560,11300,24.0,111.3,1.44,0.93,7,높음
나이키공홈할인,50,200,4.6,18.6,9.01,9.78,2,낮음
나이키굽높은운동화,60,670,0.6,5.4,0.81,0.85,4,중간
나이키그레이운동화,10,150,0.0,1.0,0.0,0.62,3,높음
나이키매니아,2580,10300,9.2,69.0,0.37,0.67,7,높음
나이키ACG매장,110,820,3.9,8.4,3.37,1.01,3,중간
ACG고어텍스,110,510,1.0,15.8,1.0,3.24,7,높음
나이키아노락,830,5580,9.4,55.7,1.1,1.0,10,높음
나이키버킷햇,240,2420,2.7,20.8,1.05,0.9,7,높음
나이키공식판매처,< 10,< 10,0.0,0.0,0.0,0.0,4,중간
NIKEKR,< 10,10,0.0,8.0,0.0,29.63,1,낮음
NIKESTORE,< 10,20,0.0,0.5,0.0,2.95,5,중간
NIKE공홈,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
나이키미공홈,10,< 10,0.0,0.0,0.0,0.0,2,중간
나이키모바일,< 10,< 10,0.0,0.3,0.0,11.12,0,낮음
나이키멤버십,60,760,1.0,0.5,1.67,0.08,1,중간
나이키멤버가입,< 10,10,0.0,0.5,0.0,3.58,2,중간
나이키리미티드,< 10,60,0.0,0.7,0.0,1.08,4,중간
NSW,450,1010,0.0,0.0,0.0,0.0,3,높음
나이키발매,20,40,0.0,0.0,0.0,0.0,4,중간
ㄴ나이키,< 10,< 10,0.0,0.0,0.0,0.0,2,낮음
나이키월드와이드,< 10,20,0.0,0.3,0.0,1.39,3,높음
나이키온라,< 10,< 10,1.8,0.7,35.72,33.34,3,중간
일본나이키공홈,30,110,0.0,0.3,0.0,0.26,3,높음
나이키골프바지,380,2450,10.0,34.9,2.43,1.39,7,높음
남자나이키,40,240,1.0,7.5,2.05,3.08,7,높음
나이키공식온라인스토어,< 10,30,0.0,2.8,0.0,10.21,2,낮음
S나이키,< 10,< 10,1.1,0.0,37.5,0.0,3,중간
나이키남성,20,150,0.3,9.5,1.3,6.56,7,높음
나이키회원가입,30,130,2.0,14.0,6.07,9.92,3,중간
나이키구매대행,50,120,2.1,9.8,3.7,7.5,7,높음
나이키온라인몰,50,50,3.7,7.5,7.21,13.89,8,중간
나이키공식스토어,20,50,2.5,8.3,8.18,15.28,5,중간
나이키공식온라인,10,10,1.1,0.7,22.23,5.27,2,낮음
나이키공식사이트,< 10,40,0.0,0.0,0.0,0.0,1,낮음
나이키로그인,10,30,0.0,2.3,0.0,3.34,2,중간
너이키,20,1480,1.4,254.0,5.04,16.09,6,중간
나이키멤버쉽,10,480,4.0,97.3,26.67,19.35,1,낮음
WWW.NIKE.COM,10,20,7.6,13.2,44.45,47.06,1,낮음
나이키사이즈,170,1200,1.7,13.3,0.93,1.09,7,높음
코리아나이키,< 10,20,0.0,4.3,0.0,18.61,7,높음
NIKEKOREA,10,70,1.9,15.0,11.43,18.95,4,중간
나이키프리미엄,20,130,0.0,3.8,0.0,2.98,7,높음
나이키사이트,30,190,1.7,24.3,4.31,13.26,11,중간
나이키에어맥스DN,280,1710,9.0,32.0,3.52,1.9,7,높음
나이키홈,20,90,3.2,15.8,12.39,16.0,4,낮음
나이키프로모션코드,910,4320,21.5,89.2,2.4,2.08,2,낮음
나공홈,< 10,< 10,1.0,2.5,50.0,31.25,2,낮음
나이키이벤트,30,120,0.5,6.5,1.33,4.93,6,중간
나이키공홈배송,30,170,1.0,3.5,2.71,1.97,2,낮음
한국나이키,30,110,1.7,9.5,5.05,8.27,7,높음
미국나이키직구,90,380,2.7,24.0,2.92,6.17,7,높음
스우시,420,1940,0.4,9.7,0.11,0.53,7,높음
나이키추천,10,130,0.0,5.0,0.0,3.82,7,높음
나이키미국공홈,350,1100,6.8,41.0,1.76,3.64,4,중간
니이키,< 10,40,0.3,8.0,5.89,16.0,7,높음
나이키야구,10,80,0.1,1.8,0.8,2.31,7,높음
나이니,680,1850,1.9,67.8,0.3,4.11,13,중간
나이키닷컴,860,2500,7.2,108.6,0.73,3.84,3,중간
나이키샵,20,100,1.7,14.0,8.58,14.0,7,높음
나이키스포츠,70,300,2.1,14.5,3.16,5.09,7,높음
나이키온라인아울렛,< 10,20,0.2,3.3,2.86,16.4,5,중간
미국나이키공홈,150,540,3.4,26.0,2.21,4.72,6,중간
나이키온라인매장,< 10,10,0.4,0.5,7.7,9.1,5,중간
나이키나이키,< 10,20,0.0,0.3,0.0,1.39,3,높음
나이키공홈쿠폰,10,30,1.0,2.0,6.67,6.9,2,중간
나이키한글날,10,120,0.0,0.3,0.0,0.32,3,높음
나이키팩토리,420,2560,12.0,57.1,3.0,2.37,3,중간
나이키컬쳐,< 10,40,0.2,2.0,3.13,4.44,6,중간
미국나이키,320,930,4.4,35.0,1.4,3.7,7,높음
나이키팩토리스토어,120,460,1.9,24.2,1.68,5.35,3,중간
나이키가죽운동화,170,1270,5.1,32.0,2.85,2.56,7,높음
나이키긴팔티,130,1020,0.7,35.7,0.49,3.4,10,높음
나이키ID,10,20,0.3,1.1,1.89,3.71,4,중간
나이키USA,100,290,0.4,7.3,0.46,2.51,7,높음
NIKEACG,130,760,5.9,14.0,4.13,1.71,7,높음
빈티지나이키,10,50,0.0,2.0,0.0,3.13,7,높음
나이키베스트,320,1850,3.0,33.7,0.88,1.79,7,높음
나이키드라이핏,610,3510,7.0,53.0,1.15,1.56,7,높음
나이키샥스,1410,7620,23.7,81.0,1.74,1.08,7,높음
나이키스냅백,100,850,1.3,10.5,1.3,1.35,7,높음
나이키레볼루션,400,2350,2.7,39.3,0.73,1.61,7,높음
나이키에어조던,340,2680,3.2,55.2,1.0,2.19,10,중간
나이키세트,120,1370,1.6,16.8,1.35,1.25,7,높음
나이키ACG후드,80,430,2.6,4.0,3.07,0.95,7,높음
나이키에어97,30,170,0.7,7.5,2.24,4.58,7,높음
나이키쇼핑몰,50,150,3.9,17.0,7.02,11.41,7,높음
나이키테크헤라블랙,30,310,4.3,27.6,10.32,7.62,3,중간
나이키테크헤라브라운,< 10,20,1.0,0.0,50.0,0.0,2,중간
NIKEFLYKNIT,< 10,10,0.0,0.7,0.0,5.13,3,높음
나이키리액트팬텀런플라이니트2,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키맨투맨남성,170,2170,3.4,64.0,2.29,3.16,7,높음
나이키브랜드,50,180,0.3,1.8,0.51,0.96,7,높음
나이키보르도,540,2370,0.3,2.0,0.07,0.1,3,높음
나이키트랙,10,40,0.0,0.7,0.0,1.52,7,높음
나이키맨투맨,3590,31400,22.6,470.7,0.65,1.54,10,높음
나이키커스텀,200,1120,1.9,19.3,0.97,1.87,7,높음
나이키골프파우치,60,270,0.7,3.0,1.12,1.02,7,높음
나이키기모츄리닝,280,3490,2.6,52.8,0.9,1.57,7,높음
나이키덩크,730,4710,10.9,132.2,1.54,2.99,10,중간
나이키이월상품,50,390,3.6,38.3,6.24,9.66,10,중간
나이키기모맨투맨,570,4660,9.3,101.5,1.56,2.21,7,높음
나이키반팔,340,2560,5.9,30.5,1.81,1.28,7,높음
나이키에어포스1,2090,16600,38.4,342.0,1.92,2.22,10,중간
나이키등산복,50,310,2.3,8.3,3.88,2.54,7,높음
나이키에어,1100,7310,15.3,75.3,1.44,1.1,7,높음
나이키선글라스,320,1610,5.6,41.8,1.7,2.77,7,높음
나이키멀티샵,20,80,1.0,6.0,3.98,7.41,6,중간
나이키츄리닝세트,590,6570,6.9,141.5,1.19,2.19,15,높음
나이키골프자켓,40,210,0.3,1.6,0.52,0.6,7,높음
나이키테크플리스후드집업,20,280,0.6,4.1,2.73,1.42,7,높음
나이키피닉스플리스,150,2430,1.7,21.5,1.13,0.87,7,높음
나이키헤리티지86퓨추라워시드,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키헤이워드백팩,60,930,0.7,41.3,1.16,4.83,7,높음
나이키후드집업세트,20,190,0.3,5.5,1.43,2.71,7,높음
나이키흰색신발,< 10,50,0.0,0.0,0.0,0.0,7,높음
남자나이키바람막이,< 10,40,0.1,0.3,3.58,0.79,7,높음
남자나이키샌들,< 10,20,0.1,0.3,2.39,1.32,7,높음
농구화나이키,< 10,110,0.3,0.6,2.6,0.65,7,높음
나이키키즈트레이닝복,20,120,0.6,2.0,2.49,1.83,7,높음
나이키골프웨어,790,3640,41.1,53.9,4.85,1.42,7,높음
P6000나이키,270,4620,4.4,85.7,1.55,1.86,5,중간
FB5368-011,190,520,1.9,9.0,1.05,1.76,7,높음
나이키등산화,660,3580,7.1,70.8,1.18,2.03,7,높음
에어맥스97SE,< 10,40,0.0,0.3,0.0,0.73,7,높음
여자나이키팬츠,< 10,10,0.0,0.3,0.0,3.13,7,높음
오프코트어저스트,< 10,60,0.3,0.3,4.77,0.47,3,높음
조던신발,320,3640,2.5,105.5,0.82,3.11,10,중간
조던후드집업,50,410,0.1,8.3,0.26,1.91,7,높음
조던후리스,50,580,0.3,1.1,0.45,0.19,4,중간
프리메트콘,220,1050,2.4,5.3,1.06,0.5,7,높음
나이키에어윈플로10,30,340,0.0,4.0,0.0,1.15,6,중간
나이키에어포스107로우,50,270,1.9,10.0,3.32,4.04,7,높음
나이키에어포스1정품,< 10,30,0.1,1.7,1.59,6.46,7,높음
